"id","rank","rankUpDown","title","fullTitle","year","image","crew","imDbRating","imDbRatingCount"
"tt12792418","36","+514","Night in Paradise","Night in Paradise (2020)","2020","https://m.media-amazon.com/images/M/MV5BOTA1MzFkYzYtMjMzNC00MDQzLTg4NDgtOWJjMzliOGMzODFlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_UX128_CR0,3,128,176_AL_.jpg","Park Hoon-jung (dir.), Tae-goo Eom, Yeo-bin Jeon","6.7","2309"
"tt0068646","37","-2","The Godfather","The Godfather (1972)","1972","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,1,128,176_AL_.jpg","Francis Ford Coppola (dir.), Marlon Brando, Al Pacino","9.2","1648506"
"tt3741700","38","-20","Godzilla: King of the Monsters","Godzilla: King of the Monsters (2019)","2019","https://m.media-amazon.com/images/M/MV5BOGFjYWNkMTMtMTg1ZC00Y2I4LTg0ZTYtN2ZlMzI4MGQwNzg4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Michael Dougherty (dir.), Kyle Chandler, Vera Farmiga","6.0","152846"
"tt10633456","39","0","Minari","Minari (2020)","2020","https://m.media-amazon.com/images/M/MV5BNWEzOTNjNDgtZDhhYS00ODAxLWIzNGMtYjU3OGZhYmI3ZDU4XkEyXkFqcGdeQXVyMTAzNjk5MDI4._V1_UX128_CR0,3,128,176_AL_.jpg","Lee Isaac Chung (dir.), Steven Yeun, Yeri Han","7.6","32847"
"tt10288566","40","+14","Another Round","Another Round (2020)","2020","https://m.media-amazon.com/images/M/MV5BOTNjM2Y2ZjgtMDc5NS00MDQ1LTgyNGYtYzYwMTAyNWQwYTMyXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_UX128_CR0,3,128,176_AL_.jpg","Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen","7.8","61863"
"tt7970348","41","3,377","The Stand In","The Stand In (2020)","2020","https://m.media-amazon.com/images/M/MV5BYjE0YWZjZTItMmUwYy00OGNlLWJkZmItZDk2YWJjZmViOTBjXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX128_CR0,1,128,176_AL_.jpg","Jamie Babbit (dir.), Drew Barrymore, Sarah Jes Austell","4.6","1998"
"tt0120815","42","-6","Saving Private Ryan","Saving Private Ryan (1998)","1998","https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Steven Spielberg (dir.), Tom Hanks, Matt Damon","8.6","1255319"
"tt11581174","43","+649","Karnan","Karnan (2021)","2021","https://m.media-amazon.com/images/M/MV5BNTAxMTA5ZGYtOWNjYi00MmIxLWE4ZTItNjQxMzQ0MzMxMDIyXkEyXkFqcGdeQXVyMTI4Nzc4Njg3._V1_UX128_CR0,3,128,176_AL_.jpg","Mari Selvaraj (dir.), Dhanush, Lal","8.6","5241"
"tt1160419","44","+29","Dune","Dune (2021)","2021","https://m.media-amazon.com/images/M/MV5BMGFkZGY0NTgtMGEyZC00YzhjLTkyOWItYzMzOTljMDA3ZjU2XkEyXkFqcGdeQXVyNzc4NTU3Njg@._V1_UX128_CR0,3,128,176_AL_.jpg","Denis Villeneuve (dir.), Timoth¨¦e Chalamet, Rebecca Ferguson","","0"
"tt6111574","45","+42","The Woman in the Window","The Woman in the Window (2021)","2021","https://m.media-amazon.com/images/M/MV5BYmVlNWJkZWYtYmJkMy00YTZlLTgwODMtZjVmOGMzMmM1ZTk2XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UX128_CR0,3,128,176_AL_.jpg","Joe Wright (dir.), Amy Adams, Gary Oldman","","0"
